vista;dia_laboral;250228;250331;250430
Diario;0;0;0;187
Diario;0;757;412;0
Diario;1;552;106;908
Diario;2;556;314;0
Diario;3;725;376;0
Diario;4;600;723;0
Diario;5;472;710;0
Diario;6;658;381;0
Diario;7;392;253;0
Diario;8;530;486;0
Diario;9;487;307;0
Diario;10;534;214;0
Diario;11;503;426;0
Diario;12;475;405;0
Diario;13;306;206;0
Diario;14;501;242;0
Diario;15;386;323;0
Diario;16;387;272;0
Diario;17;699;432;0
Diario;18;555;250;0
Diario;19;364;195;0
Diario;20;453;451;0
Diario;21;499;656;0
Diario;22;404;288;0
Diario;23;480;267;0
Diario;24;391;407;0
Diario;25;0;299;0
Diario;26;0;398;0
Acumulado;0;0;0;187
Acumulado;0;757;412;187
Acumulado;1;1309;518;1095
Acumulado;2;1865;832;1095
Acumulado;3;2590;1208;1095
Acumulado;4;3190;1931;1095
Acumulado;5;3662;2641;1095
Acumulado;6;4320;3022;1095
Acumulado;7;4712;3275;1095
Acumulado;8;5242;3761;1095
Acumulado;9;5729;4068;1095
Acumulado;10;6263;4282;1095
Acumulado;11;6766;4708;1095
Acumulado;12;7241;5113;1095
Acumulado;13;7547;5319;1095
Acumulado;14;8048;5561;1095
Acumulado;15;8434;5884;1095
Acumulado;16;8821;6156;1095
Acumulado;17;9520;6588;1095
Acumulado;18;10075;6838;1095
Acumulado;19;10439;7033;1095
Acumulado;20;10892;7484;1095
Acumulado;21;11391;8140;1095
Acumulado;22;11795;8428;1095
Acumulado;23;12275;8695;1095
Acumulado;24;12666;9102;1095
Acumulado;25;12666;9401;1095
Acumulado;26;12666;9799;1095
